0000,Ericsson
0001,Nokia
0002,Intel
0003,IBM
0006,Microsoft
0008,Motorola
0009,Infineon
000A,Cambridge SR
000D,Texas Inst
000F,Broadcom
0013,Atmel
001D,Qualcomm
0025,NXP
002A,Symbol
0030,ST Micro
0036,Renesas
003A,Panasonic
003C,BlackBerry
0040,Seiko Epson
0043,Parrot
0046,MediaTek
0048,Marvell
004B,Continental
004C,Apple
0055,Plantronics
0056,Sony Ericsson
0057,Harman
0058,Vizio
0059,Nordic Semi
005C,Belkin
005D,Realtek
0065,HP
0067,GN Audio
0068,GM
006B,Polar
0075,Samsung
0076,Creative
0077,Laird
0078,Nike
0082,Sennheiser
0087,Garmin
0089,GN ReSound
008E,Quintic
009E,Bose
009F,Suunto
00A3,Meta Watch
00C3,Adidas
00C4,LG
00CC,Beats
00CD,Microchip
00D0,Dexcom
00D7,Qualcomm
00E0,Google
00FE,Stanley
0100,TomTom
0103,B&O
010E,Audi
010F,HiSilicon
011F,VW
0120,Porsche
0125,SEAT
012D,Sony
012E,Assa Abloy
0131,Cypress
013A,Tencent
013C,Murata
0150,Pioneer
0157,Huami
0165,Milwaukee
0171,Amazon
017C,Daimler
0183,Disney
018E,Fitbit
0196,Paxton
01A8,Taobao
01A9,Canon
01AB,Facebook
01B5,Nest Labs
01B7,GE
01CF,BSH
01DA,Logitech
01DD,Philips
01F1,Zebra
01F9,Medtronic
01FC,Wahoo
020B,Jaguar LR
020E,Omron
0211,Telink
021B,Cisco
022B,Tesla
022E,Siemens
0243,Masimo
0245,Endress
0258,Gopro
026D,Xiaomi
0272,ABB
0291,Tyco
0297,Husqvarna
02A3,Lutron
02A5,Trane
02AC,Amazon Lab
02E3,JBL
02E5,Jabra
030F,Sonos
031C,Shure
0341,Whirlpool
0355,Bosch
0385,Sharp
039C,Leica
03B9,Grohe
03C7,Honda Motor
03DA,Mitsubishi
0404,Roche
0426,iRobot
0499,Ruuvi
04AE,Dyson
04C3,Samsung SDS
04DC,Tile
0571,Nothing
0822,Flipper
08AA,DJI
09C6,Honor
0A12,Dyson Tech
0A4F,VanMoof
0BA6,Nissan
0B86,Trek
0C34,BYD
0C8C,T-Mobile
0CA1,Yamaha
0CC2,Anker
0CE7,Tag Heuer
0004,Toshiba
0005,Verizon
000B,Silicon Wave
000C,Digianswer
0010,Qualcomm QT
0012,Zeevo
0015,RTX Telecom
0017,Signia
001A,TDK
001E,Conexant
0029,Hitachi
002B,Tenovis
002E,Norwood
0031,Synopsys
003B,Samsung EI
003E,LG Electron
003F,Ampak Tech
0041,Toshiba C
0047,GN Hearing
004A,Stollmann
004E,Acer
004F,Dell
0050,EM Micro
0052,Commil
0054,Conn Devices
005A,3DSP
005E,GMC Micro
005F,QNAP
0060,Panda Ocean
0064,Ralink Tech
0069,ASUS
006A,Clarinox
0071,Mstar Semi
007A,Mindtree
007D,Foxconn
0080,Inventel
0083,Qualcomm In
0086,Dell Inc
0088,Taiyo Yuden
008A,Lenovo
008B,Continental
008D,DELL
0090,Alereon
0094,MSI
0097,Toshiba
009B,Realtek Semi
00A0,Typo Prods
00A8,AMD
00B0,Ralink
00B5,Acer Inc
00BB,Broadcom Co
00F1,Corsair
00FA,Transcend
010D,Acer Inc
0110,Fujitsu
0118,ASUS Inc
0126,Dell Tech
0138,Razer
0147,ASUS ROG
0159,Dell EMC
0161,Lenovo PC
019A,Nvidia
01B1,Corsair Mem
01CE,MSI Co
01E6,SteelSeries
01EB,HyperX
0237,Huawei Dev
024F,Razer Inc
0287,ASUS Comp
02B2,Dell Inc
02FC,Dell Inc
0312,Lenovo BJ
0390,AMD Inc
03A8,ASUS Tech
0443,Gigabyte
0483,EVGA
